
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
           4427.6 12          4427.26 25   146 94                                                                                   
            4444.9 4            4444.8 3   146 93                                                                                   
          4469.90 20           4469.78 7   146 92                                                                                   
            4482.3 3          4482.12 21   146 91                                                                                   
    (1    4528.57 19           4528.88 9   146 89                                                                                   
    (1    4547.01 11           4547.15 8   146 88                                                                                   
            4590.2 3           4590.27 8   146 85                                                                                   
           4607.03 8           4607.07 5   146 84                                                                                   
    (3    4623.75 15           4624.20 9   146 83                                                                                   
    (1    4646.52 18          4646.85 11   146 82                                                                                   
    (1    4666.18 17           4666.35 9   146 81                                                                                   
          4706.13 12           4706.18 9   146 78                                                                                   
    (1    4720.07 25          4720.42 17   146 77                                                                                   
          4731.14 15          4731.15 14   146 75                                                                                   
            4757.4 8            4757.5 6   146 74                                                                                   
            4781.9 3          4782.01 16   146 72                                                                                   
            4799.7 4          4799.84 16   143  1                                                                                   
    (1      4835.9 3          4836.21 16   146 70                                                                                   
    (1      4870.9 4          4870.12 14   146 69                                                                                   
    (1    4884.79 10           4884.64 8   146 68                                                                                   
          4893.78 11           4893.86 8   146 67                                                                                   
    (1     4906.16 7           4906.23 5   146 66                                                                                   
    (1     4922.24 8           4922.12 5   146 65                                                                                   
              4946 3           4946.0 21   146 63                                                                                   
    (1    4963.03 21           4963.32 4   146 62                                                                                   
           5003.24 9           5003.28 6   146 61                                                                                   
    (1    5040.67 17          5040.90 11   146 59                                                                                   
    (1      5061.9 9           5060.96 8   146 58                                                                                   
    (1    5068.97 14           5068.80 6   146 57                                                                                   
           5127.97 9           5128.00 6   146 56                                                                                   
            5140.5 4           5140.11 8   146 55                                                                                   
    (1    5149.89 24           5150.15 8   146 54                                                                                   
            5168.2 3          5168.03 24   146 53                                                                                   
    (1     5181.74 7           5181.83 4   146 52                                                                                   
    (1      5212.7 4          5212.16 18   146 51                                                                                   
            5217.1 6          5217.32 16   146 50                                                                                   
           5270.36 7           5270.39 5   146 48                                                                                   
            5308.8 3           5308.93 5   146 46                                                                                   
          5358.46 11           5358.52 5   146 44                                                                                   
          5370.25 10           5370.20 5   146 43                                                                                   
            5411.3 9           5411.04 9   146 42                                                                                   
            5446.2 4          5446.54 11   146 41                                                                                   
           5510.86 9           5510.79 4   146 38                                                                                   
            5568.1 5          5567.76 19   146 37                                                                                   
    (1     5602.99 7           5603.08 3   146 36                                                                                   
    (1     5614.68 8           5614.80 4   146 35                                                                                   
          5639.13 10           5639.22 3   146 34                                                                                   
