V - 50N,G    1.0000+00* SIGECN-MASGAM                             2350 3102
 1.3525E+04 3.8903E-03 1.3531E+04 3.8890E-03 1.3538E+04 3.8880E-032350 3102
 1.3541E+04 3.8876E-03 1.3544E+04 3.8872E-03 1.3545E+04 3.8871E-032350 3102
 1.3547E+04 3.8870E-03 1.3548E+04 3.8869E-03 1.3548E+04 3.8868E-032350 3102
 1.3549E+04 3.8868E-03 1.3549E+04 3.8868E-03 1.3549E+04 3.8868E-032350 3102
 1.3550E+04 3.8868E-03 1.3550E+04 3.8868E-03 1.3550E+04 3.8868E-032350 3102
 1.3550E+04 3.8868E-03 1.3550E+04 3.8868E-03 1.3550E+04 3.8868E-032350 3102
 1.3550E+04 3.8868E-03 1.3550E+04 3.8868E-03 1.3550E+04 3.8868E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-03 1.3550E+04 3.8867E-032350 3102
