S - 33N,G    1.0000+00* JEF-2.2                                   1633 3102
 2.3811E+04 2.6767E-02 2.3814E+04 2.7899E-02 2.3816E+04 2.9104E-021633 3102
 2.3819E+04 3.0387E-02 2.3821E+04 3.1755E-02 2.3824E+04 3.3216E-021633 3102
 2.3827E+04 3.4778E-02 2.3829E+04 3.6451E-02 2.3832E+04 3.8245E-021633 3102
 2.3834E+04 4.0171E-02 2.3837E+04 4.2243E-02 2.3839E+04 4.4475E-021633 3102
 2.3842E+04 4.6883E-02 2.3844E+04 4.9486E-02 2.3847E+04 5.2304E-021633 3102
 2.3849E+04 5.5362E-02 2.3852E+04 5.8685E-02 2.3855E+04 6.2303E-021633 3102
 2.3857E+04 6.6250E-02 2.3860E+04 7.0564E-02 2.3862E+04 7.5289E-021633 3102
 2.3863E+04 7.7832E-02 2.3865E+04 8.0477E-02 2.3866E+04 8.3273E-021633 3102
 2.3867E+04 8.6185E-02 2.3869E+04 8.9268E-02 2.3870E+04 9.2481E-021633 3102
 2.3871E+04 9.5886E-02 2.3872E+04 9.9439E-02 2.3874E+04 1.0321E-011633 3102
 2.3875E+04 1.0714E-01 2.3876E+04 1.1132E-01 2.3878E+04 1.1569E-011633 3102
 2.3879E+04 1.2034E-01 2.3880E+04 1.2520E-01 2.3881E+04 1.3037E-011633 3102
 2.3883E+04 1.3578E-01 2.3884E+04 1.4153E-01 2.3885E+04 1.4756E-011633 3102
 2.3886E+04 1.5398E-01 2.3888E+04 1.6071E-01 2.3889E+04 1.6787E-011633 3102
 2.3890E+04 1.7537E-01 2.3892E+04 1.8334E-01 2.3893E+04 1.9170E-011633 3102
 2.3894E+04 2.0057E-01 2.3895E+04 2.0985E-01 2.3897E+04 2.1969E-011633 3102
 2.3898E+04 2.2996E-01 2.3899E+04 2.4082E-01 2.3900E+04 2.5211E-011633 3102
 2.3902E+04 2.6392E-01 2.3903E+04 2.7622E-01 2.3905E+04 2.9334E-011633 3102
 2.3906E+04 3.1126E-01 2.3908E+04 3.2987E-01 2.3910E+04 3.4892E-011633 3102
 2.3911E+04 3.6843E-01 2.3913E+04 3.8807E-01 2.3918E+04 4.4451E-011633 3102
 2.3920E+04 4.6134E-01 2.3922E+04 4.7647E-01 2.3923E+04 4.8944E-011633 3102
