K - 39N,G    1.0000+00* JENDL-3.1                                 1939 3102
 1.1913E+04 9.3953E-04 1.2013E+04 9.4514E-04 1.2215E+04 1.1080E-031939 3102
 1.2316E+04 1.4082E-03 1.2366E+04 1.7276E-03 1.2417E+04 2.3334E-031939 3102
 1.2467E+04 3.6409E-03 1.2492E+04 4.9605E-03 1.2517E+04 7.3598E-031939 3102
 1.2530E+04 9.3847E-03 1.2543E+04 1.2545E-02 1.2555E+04 1.7803E-021939 3102
 1.2568E+04 2.7145E-02 1.2574E+04 3.4991E-02 1.2580E+04 4.7261E-021939 3102
 1.2587E+04 6.7233E-02 1.2590E+04 8.2569E-02 1.2593E+04 1.0430E-011939 3102
 1.2596E+04 1.3646E-01 1.2599E+04 1.8720E-01 1.2601E+04 2.2477E-011939 3102
 1.2602E+04 2.7689E-01 1.2604E+04 3.5225E-01 1.2606E+04 4.6957E-011939 3102
 1.2606E+04 5.5213E-01 1.2607E+04 6.5995E-01 1.2608E+04 7.9993E-011939 3102
 1.2609E+04 9.8160E-01 1.2609E+04 1.2127E+00 1.2610E+04 1.5108E+001939 3102
 1.2611E+04 1.8850E+00 1.2612E+04 2.3443E+00 1.2613E+04 2.8860E+001939 3102
 1.2613E+04 3.5217E+00 1.2615E+04 4.6057E+00 1.2617E+04 6.8795E+001939 3102
 1.2618E+04 7.6462E+00 1.2619E+04 8.0242E+00 1.2619E+04 8.2795E+001939 3102
 1.2620E+04 8.3680E+00 1.2620E+04 8.3303E+00 1.2622E+04 7.9105E+001939 3102
 1.2622E+04 7.5067E+00 1.2623E+04 7.0313E+00 1.2623E+04 6.4899E+001939 3102
 1.2626E+04 4.1289E+00 1.2627E+04 3.4106E+00 1.2628E+04 2.7746E+001939 3102
 1.2628E+04 2.2317E+00 1.2629E+04 1.7827E+00 1.2630E+04 1.4211E+001939 3102
 1.2631E+04 1.1360E+00 1.2632E+04 9.1473E-01 1.2632E+04 7.4481E-011939 3102
 1.2633E+04 6.1481E-01 1.2634E+04 5.1517E-01 1.2635E+04 4.3739E-011939 3102
 1.2636E+04 3.2988E-01 1.2638E+04 2.6010E-01 1.2640E+04 2.1185E-011939 3102
 1.2641E+04 1.7647E-01 1.2645E+04 1.2892E-01 1.2648E+04 9.8580E-021939 3102
 1.2651E+04 7.8118E-02 1.2654E+04 6.3661E-02 1.2661E+04 4.4779E-021939 3102
 1.2667E+04 3.3164E-02 1.2674E+04 2.5736E-02 1.2687E+04 1.6892E-021939 3102
 1.2700E+04 1.1908E-02 1.2713E+04 8.9104E-03 1.2726E+04 6.9852E-031939 3102
 1.2752E+04 4.6996E-03 1.2778E+04 3.4369E-03 1.2829E+04 2.1733E-031939 3102
 1.2881E+04 1.5753E-03 1.2933E+04 1.2490E-03 1.3037E+04 9.1769E-041939 3102
 1.3245E+04 6.6900E-04 1.3556E+04 5.6693E-04 1.3868E+04 6.5361E-041939 3102
 1.3971E+04 8.1526E-04 1.4075E+04 1.3035E-03 1.4127E+04 1.9906E-031939 3102
 1.4153E+04 2.6880E-03 1.4179E+04 3.9971E-03 1.4205E+04 6.7610E-031939 3102
 1.4218E+04 9.5452E-03 1.4231E+04 1.4838E-02 1.4244E+04 2.5894E-021939 3102
 1.4250E+04 3.7078E-02 1.4257E+04 5.8155E-02 1.4260E+04 7.6720E-021939 3102
 1.4263E+04 1.0737E-01 1.4265E+04 1.3128E-01 1.4267E+04 1.6633E-011939 3102
 1.4268E+04 2.2205E-01 1.4270E+04 3.1888E-01 1.4271E+04 3.9318E-011939 3102
 1.4271E+04 4.9377E-01 1.4272E+04 6.2958E-01 1.4273E+04 8.1123E-011939 3102
 1.4274E+04 1.0505E+00 1.4275E+04 1.3592E+00 1.4275E+04 1.7477E+001939 3102
 1.4276E+04 2.2287E+00 1.4277E+04 2.7905E+00 1.4278E+04 3.4296E+001939 3102
 1.4279E+04 4.1266E+00 1.4280E+04 5.2073E+00 1.4281E+04 5.8962E+001939 3102
 1.4282E+04 6.5021E+00 1.4282E+04 6.8748E+00 1.4283E+04 7.1599E+001939 3102
 1.4284E+04 7.3599E+00 1.4284E+04 7.3945E+00 1.4285E+04 7.2154E+001939 3102
 1.4286E+04 6.9864E+00 1.4286E+04 6.6507E+00 1.4287E+04 6.3824E+001939 3102
 1.4288E+04 5.5954E+00 1.4289E+04 4.5265E+00 1.4291E+04 2.8345E+001939 3102
 1.4292E+04 2.2670E+00 1.4292E+04 1.7906E+00 1.4293E+04 1.3984E+001939 3102
 1.4294E+04 1.0849E+00 1.4295E+04 8.3779E-01 1.4296E+04 6.5173E-011939 3102
