O - 18N,G    1.0000+00* ESTIMATE, O16                              818 3102
 3.3100E+06 2.9783E-05 3.3120E+06 2.9797E-05 3.3140E+06 2.9811E-05 818 3102
 3.3160E+06 2.9825E-05 3.3180E+06 2.9839E-05 3.3200E+06 2.9853E-05 818 3102
 3.3220E+06 2.9867E-05 3.3240E+06 2.9881E-05 3.3260E+06 2.9894E-05 818 3102
 3.3280E+06 2.9908E-05 3.3300E+06 2.9922E-05 3.3320E+06 2.9936E-05 818 3102
 3.3340E+06 2.9950E-05 3.3360E+06 2.9964E-05 3.3380E+06 2.9978E-05 818 3102
 3.3400E+06 2.9992E-05 3.3450E+06 3.0027E-05 3.3500E+06 3.0062E-05 818 3102
 3.3550E+06 3.0097E-05 3.3600E+06 3.0132E-05 3.3700E+06 3.0202E-05 818 3102
 3.3800E+06 3.0272E-05 3.3900E+06 3.0343E-05 3.4000E+06 3.0413E-05 818 3102
 3.4100E+06 3.0483E-05 3.4200E+06 3.0554E-05 3.4300E+06 3.0624E-05 818 3102
 3.4350E+06 3.0659E-05 3.4360E+06 3.0666E-05 3.4370E+06 3.0674E-05 818 3102
 3.4375E+06 3.0677E-05 3.4380E+06 3.0681E-05 3.4385E+06 3.0684E-05 818 3102
 3.4390E+06 3.0688E-05 3.4395E+06 3.0691E-05 3.4400E+06 3.0695E-05 818 3102
 3.4405E+06 3.0698E-05 3.4410E+06 3.0702E-05 3.4415E+06 3.0705E-05 818 3102
 3.4416E+06 3.0706E-05 3.4417E+06 3.0707E-05 3.4418E+06 3.0707E-05 818 3102
 3.4419E+06 3.0708E-05 3.4420E+06 3.0709E-05 3.4425E+06 3.0712E-05 818 3102
 3.4430E+06 3.0716E-05 3.4435E+06 3.0719E-05 3.4440E+06 3.0723E-05 818 3102
 3.4445E+06 3.0727E-05 3.4450E+06 3.0730E-05 3.4500E+06 3.0765E-05 818 3102
 3.4550E+06 3.0801E-05 3.4600E+06 3.0836E-05 3.4650E+06 3.0872E-05 818 3102
 3.4700E+06 3.0907E-05 3.4750E+06 3.0942E-05 3.4800E+06 3.0978E-05 818 3102
 3.4900E+06 3.1049E-05 3.5000E+06 3.1120E-05 3.5100E+06 3.1191E-05 818 3102
 3.5200E+06 3.1262E-05 3.5300E+06 3.1333E-05 3.5400E+06 3.1405E-05 818 3102
 3.5500E+06 3.1476E-05 3.5600E+06 3.1548E-05 3.5700E+06 3.1619E-05 818 3102
 3.5800E+06 3.1691E-05 3.5900E+06 3.1763E-05 3.6000E+06 3.1834E-05 818 3102
 3.6100E+06 3.1906E-05 3.6200E+06 3.1978E-05 3.6300E+06 3.2050E-05 818 3102
 3.6400E+06 3.2123E-05 3.6500E+06 3.2195E-05 3.6600E+06 3.2267E-05 818 3102
 3.6700E+06 3.2339E-05 3.6800E+06 3.2412E-05 3.6900E+06 3.2484E-05 818 3102
 3.7000E+06 3.2557E-05 3.7100E+06 3.2630E-05 3.7200E+06 3.2703E-05 818 3102
 3.7300E+06 3.2775E-05 3.7400E+06 3.2848E-05 3.7450E+06 3.2885E-05 818 3102
 3.7500E+06 3.2921E-05 3.7550E+06 3.2958E-05 3.7600E+06 3.2995E-05 818 3102
 3.7610E+06 3.3002E-05 3.7620E+06 3.3009E-05 3.7630E+06 3.3017E-05 818 3102
 3.7640E+06 3.3024E-05 3.7650E+06 3.3031E-05 3.7660E+06 3.3039E-05 818 3102
 3.7670E+06 3.3046E-05 3.7680E+06 3.3053E-05 3.7690E+06 3.3060E-05 818 3102
 3.7700E+06 3.3068E-05 3.7720E+06 3.3082E-05 3.7740E+06 3.3097E-05 818 3102
 3.7760E+06 3.3112E-05 3.7780E+06 3.3126E-05 3.7800E+06 3.3141E-05 818 3102
 3.7850E+06 3.3178E-05 3.7900E+06 3.3214E-05 3.7950E+06 3.3251E-05 818 3102
 3.8000E+06 3.3288E-05 3.8100E+06 3.3361E-05 3.8200E+06 3.3435E-05 818 3102
 3.8300E+06 3.3509E-05 3.8400E+06 3.3583E-05 3.8500E+06 3.3657E-05 818 3102
 3.8600E+06 3.3730E-05 3.8700E+06 3.3805E-05 3.8800E+06 3.3879E-05 818 3102
 3.8900E+06 3.3953E-05 3.9000E+06 3.4027E-05 3.9200E+06 3.4176E-05 818 3102
 3.9400E+06 3.4325E-05 3.9600E+06 3.4475E-05 3.9800E+06 3.4625E-05 818 3102
 4.0000E+06 3.4775E-05 4.0200E+06 3.4926E-05 4.0400E+06 3.5077E-05 818 3102
 4.0600E+06 3.5229E-05 4.0800E+06 3.5380E-05 4.1000E+06 3.5532E-05 818 3102
 4.1100E+06 3.5609E-05 4.1200E+06 3.5685E-05 4.1300E+06 3.5761E-05 818 3102
 4.1400E+06 3.5838E-05 4.1500E+06 3.5915E-05 4.1600E+06 3.5991E-05 818 3102
 4.1650E+06 3.6030E-05 4.1700E+06 3.6068E-05 4.1750E+06 3.6106E-05 818 3102
 4.1800E+06 3.6145E-05 4.1850E+06 3.6183E-05 4.1900E+06 3.6222E-05 818 3102
 4.1950E+06 3.6260E-05 4.2000E+06 3.6299E-05 4.2100E+06 3.6376E-05 818 3102
 4.2200E+06 3.6453E-05 4.2300E+06 3.6531E-05 4.2400E+06 3.6608E-05 818 3102
 4.2500E+06 3.6686E-05 4.2600E+06 3.6763E-05 4.2700E+06 3.6841E-05 818 3102
 4.2800E+06 3.6919E-05 4.2900E+06 3.6997E-05 4.3000E+06 3.7075E-05 818 3102
 4.3050E+06 3.7114E-05 4.3100E+06 3.7153E-05 4.3150E+06 3.7192E-05 818 3102
 4.3200E+06 3.7231E-05 4.3210E+06 3.7239E-05 4.3220E+06 3.7247E-05 818 3102
 4.3230E+06 3.7255E-05 4.3240E+06 3.7263E-05 4.3250E+06 3.7271E-05 818 3102
 4.3260E+06 3.7278E-05 4.3270E+06 3.7286E-05 4.3280E+06 3.7294E-05 818 3102
 4.3290E+06 3.7302E-05 4.3300E+06 3.7310E-05 4.3350E+06 3.7349E-05 818 3102
 4.3400E+06 3.7388E-05 4.3450E+06 3.7428E-05 4.3500E+06 3.7467E-05 818 3102
 4.3550E+06 3.7506E-05 4.3600E+06 3.7545E-05 4.3700E+06 3.7624E-05 818 3102
 4.3800E+06 3.7703E-05 4.3900E+06 3.7782E-05 4.4000E+06 3.7861E-05 818 3102
 4.4100E+06 3.7940E-05 4.4200E+06 3.8020E-05 4.4300E+06 3.8099E-05 818 3102
 4.4400E+06 3.8178E-05 4.4450E+06 3.8218E-05 4.4500E+06 3.8258E-05 818 3102
 4.4550E+06 3.8298E-05 4.4600E+06 3.8338E-05 4.4620E+06 3.8354E-05 818 3102
 4.4640E+06 3.8370E-05 4.4660E+06 3.8385E-05 4.4680E+06 3.8401E-05 818 3102
 4.4700E+06 3.8417E-05 4.4720E+06 3.8433E-05 4.4750E+06 3.8457E-05 818 3102
 4.4800E+06 3.8497E-05 4.4850E+06 3.8537E-05 4.4900E+06 3.8577E-05 818 3102
 4.4950E+06 3.8617E-05 4.5000E+06 3.8657E-05 4.5050E+06 3.8697E-05 818 3102
 4.5100E+06 3.8738E-05 4.5150E+06 3.8778E-05 4.5200E+06 3.8818E-05 818 3102
 4.5210E+06 3.8826E-05 4.5220E+06 3.8834E-05 4.5230E+06 3.8842E-05 818 3102
 4.5240E+06 3.8850E-05 4.5250E+06 3.8858E-05 4.5260E+06 3.8866E-05 818 3102
 4.5270E+06 3.8874E-05 4.5280E+06 3.8882E-05 4.5290E+06 3.8890E-05 818 3102
 4.5300E+06 3.8898E-05 4.5310E+06 3.8906E-05 4.5320E+06 3.8914E-05 818 3102
 4.5330E+06 3.8922E-05 4.5340E+06 3.8930E-05 4.5350E+06 3.8939E-05 818 3102
 4.5360E+06 3.8947E-05 4.5370E+06 3.8955E-05 4.5380E+06 3.8963E-05 818 3102
 4.5390E+06 3.8971E-05 4.5400E+06 3.8979E-05 4.5450E+06 3.9019E-05 818 3102
 4.5500E+06 3.9059E-05 4.5550E+06 3.9100E-05 4.5600E+06 3.9140E-05 818 3102
 4.5650E+06 3.9181E-05 4.5700E+06 3.9221E-05 4.5750E+06 3.9261E-05 818 3102
 4.5800E+06 3.9302E-05 4.5850E+06 3.9342E-05 4.5900E+06 3.9383E-05 818 3102
 4.5910E+06 3.9391E-05 4.5920E+06 3.9399E-05 4.5930E+06 3.9407E-05 818 3102
 4.5940E+06 3.9415E-05 4.5950E+06 3.9424E-05 4.5960E+06 3.9432E-05 818 3102
