V - 51N,G    1.0000+00* JENDL-3.1                                 2351 3102
 1.7051E+04 1.4253E-01 1.7066E+04 1.1968E-01 1.7081E+04 1.0165E-012351 3102
 1.7097E+04 8.7285E-02 1.7112E+04 7.5858E-02 1.7128E+04 6.6675E-022351 3102
 1.7143E+04 5.9227E-02 1.7158E+04 5.3113E-02 1.7189E+04 4.3804E-022351 3102
 1.7204E+04 4.0219E-02 1.7235E+04 3.4531E-02 1.7251E+04 3.2264E-022351 3102
 1.7281E+04 2.8537E-02 1.7312E+04 2.5614E-02 1.7374E+04 2.1386E-022351 3102
 1.7404E+04 1.9818E-02 1.7466E+04 1.7389E-02 1.7527E+04 1.5597E-022351 3102
 1.7589E+04 1.4224E-02 1.7650E+04 1.3146E-02 1.7712E+04 1.2285E-022351 3102
 1.7835E+04 1.1094E-02 1.7896E+04 1.0871E-02 1.7942E+04 1.1308E-022351 3102
 1.7973E+04 1.3329E-02 1.7989E+04 1.7307E-02 1.7996E+04 2.3311E-022351 3102
 1.8000E+04 2.9849E-02 1.8004E+04 4.5800E-02 1.8006E+04 6.7915E-022351 3102
 1.8008E+04 1.2109E-01 1.8009E+04 1.7095E-01 1.8010E+04 2.4574E-012351 3102
 1.8011E+04 3.5397E-01 1.8012E+04 5.0574E-01 1.8013E+04 7.0390E-012351 3102
 1.8014E+04 9.5069E-01 1.8015E+04 1.2393E+00 1.8016E+04 1.8688E+002351 3102
 1.8017E+04 2.1527E+00 1.8018E+04 2.3725E+00 1.8019E+04 2.4897E+002351 3102
 1.8020E+04 2.5244E+00 1.8021E+04 2.5007E+00 1.8022E+04 2.3853E+002351 3102
 1.8022E+04 2.2589E+00 1.8024E+04 1.8279E+00 1.8025E+04 1.2281E+002351 3102
 1.8027E+04 8.7336E-01 1.8028E+04 5.8913E-01 1.8029E+04 3.8208E-012351 3102
 1.8030E+04 2.4236E-01 1.8032E+04 1.5605E-01 1.8033E+04 1.0516E-012351 3102
 1.8035E+04 6.0162E-02 1.8038E+04 4.6299E-02 1.8040E+04 4.2639E-022351 3102
 1.8042E+04 4.4786E-02 1.8045E+04 5.6753E-02 1.8047E+04 9.9194E-022351 3102
 1.8049E+04 1.4863E-01 1.8050E+04 2.3441E-01 1.8051E+04 3.7199E-012351 3102
 1.8052E+04 5.7812E-01 1.8053E+04 8.6162E-01 1.8055E+04 1.2186E+002351 3102
 1.8057E+04 1.9989E+00 1.8058E+04 2.3035E+00 1.8059E+04 2.4442E+002351 3102
 1.8060E+04 2.4892E+00 1.8061E+04 2.4704E+00 1.8062E+04 2.3482E+002351 3102
